name,year_established,year_active,systems_res,systems_com,states_active,headquarters_street,headquarters_city,headquarters_state,headquarters_zip,headquarters_country,headquarters_link,office_latlongs,lat,lng
"Sunnyside Solar, Inc.",1979,,,,,499+Marlboro+Road,Brattleboro,VT,5301,United States,https://www.google.com/maps/?q=499%20Marlboro%20Road%20Brattleboro%20VT%2005301,,42.86788,-72.62172
Southcoast Greenlight,,,,,,527+Wilbur+Ave,Swansea,MA,2777,United States,https://www.google.com/maps/?q=527%20Wilbur%20Ave%20Swansea%20MA%2002777,,41.7328813,-71.2119892
Synergy,1994,,,,,200+Friberg+Parkway,Westborough,MA,1581,US,https://www.google.com/maps/?q=200%20Friberg%20Parkway%2C%20Suite%203010%20Westborough%20MA%2001581,,42.2846951,-71.5847279
TSC Construction,,,,,,6+Dalton+St,Newburyport,MA,1950,United States,https://www.google.com/maps/?q=6%20Dalton%20St%20Newburyport%20MA%2001950,,42.8063744,-70.8749597
ZELEK ELECTRIC CO,,,,,,187A+Boston+Post+Road,Old+Lyme,CT,6371,United States,https://www.google.com/maps/?q=187A%20Boston%20Post%20Road%20Old%20Lyme%20CT%2006371,,41.348884,-72.297455
"Sun-Wind Solutions, LLC",2010,2011,45,15,CT,262+Wakeman+Road,Fairfield,CT,6824,US,https://www.google.com/maps/?q=262%20Wakeman%20Road%20Fairfield%20CT%2006824,,41.1543895,-73.2500205
Advance Solar and Energy,1983,2010,699,370,FL,2431+Crystal+Drive,Fort+Myers,FL,33907,United States,https://www.google.com/maps/?q=2431%20Crystal%20Drive%20Fort%20Myers%20FL%2033907,,26.5651262,-81.8578229
Certasun,2018,2018,100,,IL,1582+Barclay+Boulevard,Buffalo+Grove,IL,60089,United States,https://www.google.com/maps/?q=1582%20Barclay%20Boulevard%20Buffalo%20Grove%20IL%2060089,,42.180045,-87.9377568
SolarQuote,2015,2006,328,38,CA,255+W+Fallbrook+Ave,Fresno,CA,93711,United States,https://www.google.com/maps/?q=255%20W.%20Fallbrook%20Ave%20Fresno%20CA%2093711,"36.8303,-119.8319",36.849089,-119.796312
"Sunthurst Energy, LLC",2013,2013,30,50,CA|ID|OR|WA,153+Lowell+Avenue,Glendora,CA,91741,United States,https://www.google.com/maps/?q=153%20Lowell%20Avenue%20Glendora%20CA%2091741,,34.1375354,-117.8797443
Carolina Energy Conservation,2008,2013,67,1,SC,9516+Highway+707,Myrtle+Beach,SC,29588,United States,https://www.google.com/maps/?q=9516%20Highway%20707%20Myrtle%20Beach%20South%20Carolina%2029588,,33.6316302,-79.0346209
"Earthlight Technologies, LLC",2008,2011,365,12,CT|ME|MA|NH|NY|OR|RI|VT,92+West+Road,Ellington,CT,6029,US,https://www.google.com/maps/?q=92%20West%20Road%20Ellington%20CT%2006029,"41.9114,-72.4626|44.991,-122.7627",41.8800534,-72.4644001
Raiden Electric Solar,2016,2016,,,OH,105+Court+St+755,Hamilton,OH,45012,US,https://www.google.com/maps/?q=105%20Court%20St.%20%23755%20Hamilton%20OH%2045012,,39.3993165,-84.5635662
"Magitek Energy Solutions, Inc.",1997,2007,97,4,IL,2408+Dakota+Ridge,Johnsburg,IL,60051,United States,https://www.google.com/maps/?q=2408%20Dakota%20Ridge%20Johnsburg%20IL%2060051,,42.4112867,-88.2447112
Renovus Solar,2003,2003,1000,50,NY,1520+Trumansburg+Road,Ithaca,NY,14850,US,https://www.google.com/maps/?q=1520%20Trumansburg%20Road%20Ithaca%20NY%2014850,,42.482838,-76.5671214
1 Sun Solar,2007,2008,641,20,NV,2708+S+Highland+Drive,Las+Vegas,NV,89109,United States,https://www.google.com/maps/?q=2708%20S.%20Highland%20Drive%20Las%20Vegas%20NV%2089109,,36.140546,-115.1699633
Scalo Solar,1956,2007,,,PA,22+Rutgers+Road,Pittsburgh,PA,15205,US,https://www.google.com/maps/?q=22%20Rutgers%20Road%20Pittsburgh%20PA%2015205,,40.4365504,-80.0795088
"Solar Trek, Inc.",1981,1982,1400,66,FL,3347+SW+7th+Street,Ocala,FL,34474,United States,https://www.google.com/maps/?q=3347%20SW%207th%20Street%20Ocala%20FL%2034474,"30.2214,-81.5571",29.1804886,-82.1787137
Wired up Electrical Service LLC,2014,2014,200,5,FL,2115+18th+st+NW,winter+haven,FL,33881,United States,https://www.google.com/maps/?q=2115%2018th%20st%20NW%20winter%20haven%20Florida%2033881,,28.0454001,-81.7483206
Spring Solar,2015,2015,200,3,ID|UT,1442+Copper+John+Way,Bluffdale,UT,84116,United States,https://www.google.com/maps/?q=1442%20Copper%20John%20Way%20Bluffdale%20UT%2084116,,40.4910639,-111.9322852
Centrica Business Solutions,2008,2008,9143,171,CA,2985+Kifer+Road,Santa+Clara,CA,95051,United States,https://www.google.com/maps/?q=2985%20Kifer%20Road%20Santa%20Clara%20CA%2095051,,37.3744982,-121.9813465
"SunnyMac, LLC",2009,2009,4000,5,DE|NJ|NY|PA,3525+Quakerbridge+Rd+Suite+3200,Hamilton+Township,NJ,8619,United States,https://www.google.com/maps/?q=3525%20Quakerbridge%20Rd%20Suite%203200%20Hamilton%20Township%20NJ%2008619,,40.2547503,-74.6794724
KC Green Energy,1995,2009,400,60,NJ|PA,1262+Loop+Rd,Lancaster,PA,17601,United States,https://www.google.com/maps/?q=1262%20Loop%20Rd%20Lancaster%20PA%2017601,,40.0616138,-76.3269586
Lighthouse Solar NY,2008,2008,2057,110,NY,4+Cherry+Hill+Rd,New+Paltz,NY,12561,US,https://www.google.com/maps/?q=4%20Cherry%20Hill%20Rd.%20New%20Paltz%20NY%2012561,,41.7420877,-74.0704475
"Green City Solar, LLC",2014,2009,50,,FL,7900+Interstate+Ct,North+Fort+Myers,FL,33917,United States,https://www.google.com/maps/?q=7900%20Interstate%20Ct.%20North%20Fort%20Myers%20FL%2033917,,26.723336,-81.8316844
Energy Independent Solutions: EIS Solar,2008,2008,175,45,NY|OH|PA|WV,2121+Noblestown+Rd,Pittsburgh,PA,15205,US,https://www.google.com/maps/?q=2121%20Noblestown%20Rd%2C%20%23222%20Pittsburgh%20PA%2015205,,40.4297718,-80.0523181
Solectriq,2017,2017,,,MI,776+Town+Trl,Pinckney,MI,48169,United States,https://www.google.com/maps/?q=776%20Town%20Trl.%20Pinckney%20MI%2048169,,42.4610729,-83.9386273
Elemental Energy,2010,2010,1150,60,OR|WA,6819+SE+Foster+Rd,Portland,OR,97206,US,https://www.google.com/maps/?q=6819%20SE%20Foster%20Rd%20Portland%20OR%2097206,"44.0928,-121.2936",45.488399,-122.59324
DCS Energy,2006,2006,400,200,CT,96+Pine+Street,Manchester,CT,6040,USA,https://www.google.com/maps/?q=96%20Pine%20Street%20Manchester%20CT%2006040,,41.7700478,-72.5308119
Sandbar Solar & Electric,2003,2003,1326,150,CA,2656+Mission+St,Santa+Cruz,CA,95060,US,https://www.google.com/maps/?q=2656%20Mission%20St%20Santa%20Cruz%20CA%2095060,,36.9600887,-122.0545136
JD Energy Solutions,2018,2009,600,10,CA,4404+enterprise+place+suite+A,Fremont,CA,94538,United States,https://www.google.com/maps/?q=4404%20enterprise%20place%20suite%20A%20Fremont%20CA%2094538,"37.5308,-121.9712",37.500208,-121.9558087
"Blazing Solar, LLC",,,,,AZ,220+West+6th+Avenue,Mesa,AZ,85210,USA,https://www.google.com/maps/?q=220%20West%206th%20Avenue%20Mesa%20AZ%2085210,,33.4043478,-111.8360149
PV Squared Solar,2002,2002,1150,150,MA|VT,311+Wells+Street,Greenfield,MA,1301,US,https://www.google.com/maps/?q=311%20Wells%20Street%20Greenfield%20MA%2001301,,42.6021562,-72.6064774
Rennergy LLC,2005,2013,165,2,NJ|NY,105+Lock+Street,Newark,NJ,7103,US,https://www.google.com/maps/?q=105%20Lock%20Street%2C%20Suite%20215%20Newark%20NJ%2007103,,40.7424573,-74.181657
Spectrum Energy Inc,2009,2009,1500,5,NJ,3081+Rt+73+s,Maple+shade,NJ,8052,United States,https://www.google.com/maps/?q=3081%20Rt%2073%20s%20Maple%20shade%20NJ%2008052,,39.9682584,-75.0040209
"Mirasol FAFCO Solar, Inc",1977,1977,300,10,FL|GA,5638+Jason+Lee+Pl,Sarasota,FL,34233,United States,https://www.google.com/maps/?q=5638%20Jason%20Lee%20Pl.%20Sarasota%20FL%2034233,,27.2719769,-82.4733473
Empire Solar,2007,2008,200,25,NY,6+Brunswick+Road,Troy,NY,12180,United States,https://www.google.com/maps/?q=6%20Brunswick%20Road%20Troy%20NY%2012180,,42.7220833,-73.6742692
Michigan Solar Solutions,2007,2008,425,32,MI,50202+Dennis+Industrial+Court,Wixom,MI,48393,US,https://www.google.com/maps/?q=50202%20Dennis%20Industrial%20Court%20Wixom%20MI%2048393,,42.5268013,-83.5470363
Sunergy Systems,2005,2006,1450,50,WA,4546+Leary+Way+NW,Seattle,WA,98107,United States,https://www.google.com/maps/?q=4546%20Leary%20Way%20NW%20Seattle%20WA%2098107,,47.6620168,-122.3673266
Applied Solar Energy,1982,1982,5000,300,CA,319+Forest+Ave,Pacific+Grove,CA,93950,US,https://www.google.com/maps/?q=319%20Forest%20Ave.%20Pacific%20Grove%20CA%2093950,"36.6167,-121.922",36.6189351,-121.9183284
Independence Renewable Energy LLC,2010,2010,50,1,IL,926+E+Church+St,Sandwich,IL,60548,US,https://www.google.com/maps/?q=926%20E%20Church%20St%20Sandwich%20IL%2060548,,41.6447507,-88.6096198
Ace Solar and Roofing,2008,2015,50,,FL|NC|SC,15015+John+J+Delaney+Dr+D140,Charlotte,NC,28277,United States,https://www.google.com/maps/?q=15015%20John%20J%20Delaney%20Dr%20%23D140%20Charlotte%20North%20Carolina%2028277,"30.2787,-81.5831|35.0552,-80.8195|34.8285,-82.3516",35.0525249,-80.8481812
Scudder Solar Energy Systems,2006,2006,300,140,CA,3342+Paul+Davis+Drive,Marina,CA,93933,US,https://www.google.com/maps/?q=3342%20Paul%20Davis%20Drive%20Marina%20CA%2093933,,36.6990803,-121.7943028
"OnSwitch, Inc.",,1999,,300,CA|MA|NJ|NY,201+Spear+Street,San+Francisco,CA,94105,United States,https://www.google.com/maps/?q=201%20Spear%20Street%2C%20Suite%201100%20San%20Francisco%20CA%2094105,,37.7912629,-122.3920152
ECC Solar,1991,1991,1000,50,NM|TX,847+Las+Dispensas+Loop,Sapello,NM,87745,United States,https://www.google.com/maps/?q=847%20Las%20Dispensas%20Loop%20Sapello%20NM%2087745,,1,1
"CAM Solar, Inc.",2009,2009,3500,20,CO|TX,6634+TOPPER+RIDGE,SAN+ANTONIO,TX,78233,United States,https://www.google.com/maps/?q=6634%20TOPPER%20RIDGE%20SAN%20ANTONIO%20TX%2078233,"39.6793,-104.8843|30.3764,-97.7078|29.5395,-98.4194",29.5660886,-98.3552454
A.M. Sun Solar,2012,2001,750,10,CA,410+Sherwood+Rd,Paso+Robles,CA,93446,United States,https://www.google.com/maps/?q=410%20Sherwood%20Rd%20Paso%20Robles%20California%2093446,,35.6154768,-120.6518399
"EcoSolar Installations, LLC",2008,2012,18,10,CT,12+Huntington+Drive,Branford,CT,6405,USA,https://www.google.com/maps/?q=12%20Huntington%20Drive%20Branford%20CT%2006405,,41.2990266,-72.796547
Kopp Electric Company,1994,2001,3800,20,NJ,1184+Fischer+Blvd,Toms+River,NJ,8753,United States,https://www.google.com/maps/?q=1184%20Fischer%20Blvd%20Toms%20River%20NJ%2008753,"39.9771,-74.1565",39.9911718,-74.1495163
Powered Right Solar,2005,2010,300,20,NC,2205,Fairview,NC,28730,United States,https://www.google.com/maps/?q=P.O.%20Box%20%202205%20Fairview%20NC%2028730,,35.5140058,-82.3959511
Brooklyn SolarWorks,2015,2015,28,,NY,200+6th+St,Brooklyn,NY,11215,United States,https://www.google.com/maps/?q=200%206th%20St%20Brooklyn%20NY%2011215,,40.6734458,-73.990303
"Tuscany Design Build, Inc.",1992,2004,445,32,CT|MA|RI,37+Kaya+Lane,Mansfield,CT,6250,United States,https://www.google.com/maps/?q=37%20Kaya%20Lane%20Mansfield%20CT%2006250,,41.7723219,-72.1705886
Solar Technologies,1998,1998,3500,100,CA,705+N+Branciforte+Ave,Santa+Cruz,CA,95062,US,https://www.google.com/maps/?q=705%20N.%20Branciforte%20Ave%20Santa%20Cruz%20CA%2095062,,36.9770412,-122.0161105
Resonant Energy,2016,2016,,,MA|NY,44+Moultrie+St,Boston,MA,2124,United States,https://www.google.com/maps/?q=44%20Moultrie%20St%20Boston%20MA%2002124,,42.2907848,-71.0709013
Solar Source Inc.,2008,2008,655,32,CA,4801+E+Anaheim+St,Long+Beach,CA,90804,United States,https://www.google.com/maps/?q=4801%20E%20Anaheim%20St%20Long%20Beach%20CA%2090804,,33.782753,-118.1369591
Sunpower by Hooked on Solar,2007,2007,3500,,CA,5150+Commons+Drive+103,Rocklin,CA,95677,United States,https://www.google.com/maps/?q=5150%20Commons%20Drive%20%23103%20Rocklin%20CA%2095677,"38.9829,-121.0944|38.8942,-121.2908|38.7877,-121.2366",38.8009133,-121.2088974
West Seattle Electric and Solar,2008,2008,450,10,WA,6921+34th+Ave+SW,Seattle,WA,98126,US,https://www.google.com/maps/?q=6921%2034th%20Ave%20SW%20Seattle%20WA%2098126,,47.5403523,-122.3756027
Living Solar,1995,1995,350,25,CO,187+Sun+Mesa+Lane,Durango,CO,81303,US,https://www.google.com/maps/?q=187%20Sun%20Mesa%20Lane%20Durango%20CO%2081303,,37.1725257,-107.8319074
Texoma Solar Solutions,2014,2014,500,50,OK|TX,1111+US+HWY+77,Ardmore,OK,73401,United States,https://www.google.com/maps/?q=1111%20US%20HWY%2077%20Ardmore%20OK%2073401,,34.1742611,-97.1436254
