name,year_established,year_active,systems_res,systems_com,states_active,headquarters_street,headquarters_city,headquarters_state,headquarters_zip,headquarters_country,headquarters_link,office_latlongs,lat,lng
"Evoke Solar, Inc.",2013,2002,500,50,NJ|PA,323+Linden+Avenue,Hellertown,PA,18055,US,https://www.google.com/maps/?q=323%20Linden%20Avenue%20Hellertown%20PA%2018055,,40.586097,-75.3373234
Vision Solar,2013,2013,600,,CA|NV,5255+N+Edgewood+Drive+125,Provo,UT,84604,US,https://www.google.com/maps/?q=5255%20N%20Edgewood%20Drive%20%23125%20Provo%20UT%2084604,,40.3040408,-111.6581541
Southern Energy Management,2001,2005,647,93,NC,101+Kitty+Hawk+Dr,Morrisville,NC,27560,USA,https://www.google.com/maps/?q=101%20Kitty%20Hawk%20Dr.%20Morrisville%20NC%2027560,"35.8344,-78.8466",35.8836242,-78.8050351
Essien Energy LLC,2016,2016,25,5,CA|TX,21717+Inverness+Forest+Blvd+apt+1103,Houston,TX,77073,United States,https://www.google.com/maps/?q=21717%20Inverness%20Forest%20Blvd%20apt%201103%20Houston%20TX%2077073,,30.028289,-95.408505
Solar Solution,2008,2008,2000,312,DC|MD|VA,4700+14th+St+NW,Washington,DC,20011,US,https://www.google.com/maps/?q=4700%2014th%20St%20NW%20Washington%20DC%2020011,"38.9518,-77.0203",38.9473606,-77.0330355
Standard Energy Solutions,2004,2004,4000,20,DC|MD|VA,9520+Gerwig+Lane,Columbia,MD,21046,US,https://www.google.com/maps/?q=9520%20Gerwig%20Lane%2C%20Suite%20Q%20Columbia%20MD%2021046,,39.1718523,-76.8397522
Unicity Solar Energy,2018,2009,1650,11,FL,301+E+Lemon+St+Suite+A,Tarpon+Springs,FL,34689,United States,https://www.google.com/maps/?q=301%20E.%20Lemon%20St.%20Suite%20A%20Tarpon%20Springs%20FL%2034689,,28.145245,-82.753291
Forecast Solar and Roofing,2005,2013,400,30,WA,12820+Avondale+Way,Everett,WA,98204,United States,https://www.google.com/maps/?q=12820%20Avondale%20Way%20Everett%20WA%2098204,,47.8817914,-122.2631479
Summit Energy Group,2016,1977,467,6,MA|NH|RI|SC,293+Libbey+Industrial+Parkway+Unit+250,Weymouth,MA,2189,United States,https://www.google.com/maps/?q=293%20Libbey%20Industrial%20Parkway%20Unit%20250%20Weymouth%20MA%2002189,"42.8559,-70.9367|32.8473,-79.8206|40.3134,-111.6953",42.1896906,-70.9377758
Solar States,2008,2008,350,15,DE|DC|MA|NJ|NY|PA,1508+N+American+St,Philadelphia,PA,19122,US,https://www.google.com/maps/?q=1508%20N.%20American%20St%20Philadelphia%20PA%2019122,"39.978,-75.1459",39.9741338,-75.1402636
Elevation Solar,2014,2014,4000,5,AZ|CA|FL|NV|NC|SC|TX|UT,2168+E+Williams+Field+Rd,Gilbert,AZ,85295,United States,https://www.google.com/maps/?q=2168%20E%20Williams%20Field%20Rd.%20Gilbert%20AZ%2085295,,33.3102901,-111.7433091
RC Construction Solar,2010,2007,500,100,NC|SC,188+Will+Bomar+Rd,Greer,SC,29651,United States,https://www.google.com/maps/?q=188%20Will%20Bomar%20Rd%20Greer%20SC%2029651,"34.9453,-82.2209",35.0056514,-82.2488511
"Solar SME, Inc.",2011,2011,1786,26,CO|FL|GA|NJ|NM|PA|TX|VA,2727+Lyndon+B+Johnson+FWY+Suite+762,Dallas,TX,75234,United States,https://www.google.com/maps/?q=2727%20Lyndon%20B%20Johnson%20FWY%20Suite%20762%20Dallas%20TX%2075234,"38.953,-77.2295|40.7439,-72.876|32.8697,-96.9389|40.4423,-79.983|39.21,-84.395|38.9382,-92.3049|38.2352,-104.66|28.3078,-81.3681|33.4679,-84.4806|29.7119,-95.4845",32.9112732,-96.8858286
May Electric Solar,2006,2006,1000,10,FL,8721+Casper+Ave,Hudson,FL,34667,US,https://www.google.com/maps/?q=8721%20Casper%20Ave.%20Hudson%20FL%2034667,"28.5525,-81.7574",28.3865884,-82.6699749
PacificSky Solar,1994,1994,10000,225,CA,20640+Bahama+Street,Chatsworth,CA,91311,United States,https://www.google.com/maps/?q=20640%20Bahama%20Street%20Chatsworth%20CA%2091311,,34.2315208,-118.5829896
Solar Side Up,2011,2011,1000,10,CO,17852+W+59th+Ave,Golden,CO,80403,US,https://www.google.com/maps/?q=17852%20W.%2059th%20Ave%20Golden%20CO%2080403,"39.6888,-105.156",39.8042389,-105.2014268
Now Energy,2015,2015,1000,10,TX,5214+Burleson+Rd,Austin,TX,78744,United States,https://www.google.com/maps/?q=5214%20Burleson%20Rd%20Austin%20TX%2078744,,30.210541,-97.7263561
"Sunlight-To-The Rescue, LLC",2006,2009,120,5,DC|MD,10014+Colesville+Rd+Suite+B,Silver+Spring,MD,20901,United States,https://www.google.com/maps/?q=10014%20Colesville%20Rd.%20Suite%20B%20Silver%20Spring%20MD%2020901,,39.0195693,-77.0141195
American Solar & Roofing,2001,2001,5500,50,AZ,1230+West+23rd+Street,Tempe,AZ,85282,US,https://www.google.com/maps/?q=1230%20West%2023rd%20Street%20Tempe%20AZ%2085282,,33.4040183,-111.9577452
PEG Energy,2014,2015,260,10,TX,7220A+Bob+Bullock+Loop,Laredo,TX,78041,United States,https://www.google.com/maps/?q=7220A%20Bob%20Bullock%20Loop%20Laredo%20TX%2078041,"27.5569,-99.4907",27.5617141,-99.4442018
True South Solar Inc,2010,2010,672,33,OR,125+Clear+Creek+Dr,Ashland,OR,97520,US,https://www.google.com/maps/?q=125%20Clear%20Creek%20Dr%20Ashland%20OR%2097520,,42.2005072,-122.7100999
Blue Dot Solar Inc.,2015,2008,257,59,FL|MA|NH,63+Maple+St+Exd+Unit+2,West+Bridgewater,MA,2379,United States,https://www.google.com/maps/?q=63%20Maple%20St.%20Exd.%20Unit%20%232%20West%20Bridgewater%20MA%2002379,"27.8427,-82.6448",41.9962837,-71.0347945
GreenBrilliance LLC,2007,2007,756,68,DC|MD|PA|VA|WV,46090+Lake+Center+Plaza,Sterling,VA,20165,US,https://www.google.com/maps/?q=46090%20Lake%20Center%20Plaza%2C%20Suite%20109%20Sterling%20VA%2020165,,39.0339134,-77.4050173
"SolarMax Technology, Inc.",2008,2008,11021,219,CA,3080+12th+St,Riverside,CA,92507,United States,https://www.google.com/maps/?q=3080%2012th%20St.%20Riverside%20CA%2092507,"33.4903,-117.1824|32.8919,-117.2035|34.0066,-117.8098",33.9737594,-117.3698185
GroSolar,,,,,CA|CT|DE|IN|MD|MA|NJ|NC|PA|VT,9175+Guilford+Road,Columbia,MD,21046,United States,https://www.google.com/maps/?q=9175%20Guilford%20Road%20Columbia%20MD%2021046,,39.1671095,-76.841239
Air Tech Services,,,,,TX,985+Saffle+Road,Robinson,TX,76706,United States,https://www.google.com/maps/?q=985%20Saffle%20Road%20Robinson%20TX%2076706,,31.4539327,-97.0898294
Bonner Electric Inc.,,,,,CT,1865+Route+32,Uncasville,CT,6382,USA,https://www.google.com/maps/?q=1865%20Route%2032%20Uncasville%20CT%2006382,,41.4760186,-72.0998769
"Broward Solar, Inc.",,,,,FL,1090+NE+48th+Court,Ft+Lauderdale,FL,33334,United States,https://www.google.com/maps/?q=1090%20NE%2048th%20Court%20Ft%20Lauderdale%20FL%2033334,,26.1870068,-80.1328931
Elyon Inc.,,,,,CT,131+Whiting+Street,Plainville,CT,6062,USA,https://www.google.com/maps/?q=131%20Whiting%20Street%2C%20Suite%206%20Plainville%20CT%2006062,,41.6640782,-72.8674712
"Gear Solar, Inc.",,,,,SC,1861+South+Highway+14,Greer,SC,29650,USA,https://www.google.com/maps/?q=1861%20South%20Highway%2014%20Greer%20SC%2029650,,34.8984112,-82.2345753
"Lakeside Plumbing, Inc.",,,,,FL,103+Douglas+Road+East,Oldsmar,FL,34677,United States,https://www.google.com/maps/?q=103%20Douglas%20Road%20East%2C%20Unit%20D%20Oldsmar%20FL%2034677,,28.0413236,-82.6624875
"Bordeau's One Stop Plumbing, Inc.",,,,,FL,564+Cooper+Commerce+Dr+500,Apopka,FL,32703,United States,https://www.google.com/maps/?q=564%20Cooper%20Commerce%20Dr%20%23500%20Apopka%20FL%2032703,,28.6680775,-81.5227393
Seventh Generation Energy Systems,,,,,WI,100+S+Baldwin+St++304,Madison,WI,53703,USA,https://www.google.com/maps/?q=100%20S%20Baldwin%20St%20%23%20304%20Madison%20WI%2053703,,43.0855546,-89.3658519
Solarplex of Texas,,,,,TX,3501+Larchmont+Cove,Austin,TX,78704,United States,https://www.google.com/maps/?q=3501%20Larchmont%20Cove%20Austin%20TX%2078704,,30.2388123,-97.7815839
SUN & Daughters Renewable Energy,,,,,WI,4321+Walters+Lake+Road,Rhinelander,WI,54501,USA,https://www.google.com/maps/?q=4321%20Walters%20Lake%20Road%20Rhinelander%20WI%2054501,,45.8027713,-89.3486117
"SunWind Power Systems, Inc.",,,,,IN,856,Floyds+Knobs,IN,47119,United States,https://www.google.com/maps/?q=PO%20Box%20856%20Floyds%20Knobs%20IN%2047119,,38.3242901,-85.8738399
Swan Solar,,,,,CA,24512+Bridger+Rd,Lake+Forest,CA,92630,United States,https://www.google.com/maps/?q=24512%20Bridger%20Rd.%20Lake%20Forest%20CA%2092630,,33.6108402,-117.7022969
Synergy Solar and Electrical Systems Inc.,,,,,CA,708+Gravenstein+Hwy+N+134,Sebastopol,CA,95472,United States,https://www.google.com/maps/?q=708%20Gravenstein%20Hwy%20N.%20%23134%20Sebastopol%20CA%2095472,,38.4071118,-122.8391602
T-Square Solar Solutions,,,,,NC,757+Old+Farm+Road,Banner+Elk,NC,28604,United States,https://www.google.com/maps/?q=757%20Old%20Farm%20Road%20Banner%20Elk%20NC%2028604,,36.179893,-81.851428
"Tallahassee Energy & Construction, LLC",1980,,,,FL,2437,Tallahassee,FL,32316,United States,https://www.google.com/maps/?q=PO%20Box%202437%20Tallahassee%20FL%2032316,,30.4724474,-84.2366068
Texas Solar Power Company,,,,,TX,734+N+New+Braunfels+Ave+102,San+Antonio,TX,78202,United States,https://www.google.com/maps/?q=734%20N.%20New%20Braunfels%20Ave.%20%23102%20San%20Antonio%20TX%2078202,,29.428732,-98.460908
"The Alternative Energy Company, LLC",,,,,MO,2733+E+Battlefield+Rd+246,Springfield,MO,65804,United States,https://www.google.com/maps/?q=2733%20E%20Battlefield%20Rd%20%23246%20Springfield%20MO%2065804,,37.1590938,-93.2403284
The Energy Mill,,,,,AZ,2270+S+Constellation+Way,Gilbert,AZ,85295,United States,https://www.google.com/maps/?q=2270%20S%20Constellation%20Way%20Gilbert%20AZ%2085295,,33.3091827,-111.7293733
"The Energy Outlet, Inc.",,,,,FL,494+Cnty+Rd+65,Bunnell,FL,32110,United States,https://www.google.com/maps/?q=494%20Cnty%20Rd%2065%20Bunnell%20FL%2032110,,29.4614607,-81.3314754
The Skylight Guy LLC,,,,,AZ,3101+W+Thomas+Rd+Suite+116,Phoenix,AZ,85017,United States,https://www.google.com/maps/?q=3101%20W%20Thomas%20Rd.%20Suite%20116%20Phoenix%20AZ%2085017,,33.479741,-112.126064
"The Solar Center, Inc.",,,,,CT|NJ|NY,47+Woodland+Avenue,Rockaway,NJ,7866,United States,https://www.google.com/maps/?q=47%20Woodland%20Avenue%20Rockaway%20NJ%2007866,,40.8887204,-74.5217379
The Solar Store,,,,,AZ,2833+N+Country+Club,Tucson,AZ,85716,United States,https://www.google.com/maps/?q=2833%20N%20Country%20Club%20Tucson%20AZ%2085716,,32.2588016,-110.9271694
Today's Solar Energy Co.,,,,,NJ,606+Vaughn+Ave,Tom's+River,NJ,8753,United States,https://www.google.com/maps/?q=606%20Vaughn%20Ave.%20Tom%27s%20River%20NJ%2008753,,39.9591375,-74.1517047
"Third Sun Solar and Wind Power, Ltd.",2008,,,,IN|OH,762+W+Union+Street,Athens,OH,45701,USA,https://www.google.com/maps/?q=762%20W.%20Union%20Street%20Athens%20OH%2045701,,39.3220879,-82.1349398
Todd Solar Engineering,,,,,CA,2631+Hillside+Ave,Norco,CA,92860,United States,https://www.google.com/maps/?q=2631%20Hillside%20Ave.%20%20Norco%20CA%2092860,,33.9203086,-117.5365452
Timmerman's Talents,,,,,WI,5381+Beagle+Ln,Platteville,WI,53818,USA,https://www.google.com/maps/?q=5381%20Beagle%20Ln%20Platteville%20WI%2053818,,42.7019101,-90.5722855
Total Green LLC,,,,,CT|NJ|NY|PA,421+Spring+St,Monroe,NY,10950,USA,https://www.google.com/maps/?q=421%20Spring%20St%20Monroe%20NY%2010950,,41.3260908,-74.171406
"Tri-City Electrical Contractors, Inc.",,,,,FL,430+West+Drive,Altamonte+Springs,FL,32714,United States,https://www.google.com/maps/?q=430%20West%20Drive%20Altamonte%20Springs%20FL%2032714,,28.6678255,-81.3950123
"Tristate Solar, Inc.",,,,,CT|NJ|NY,430,Altamont,NY,12009,United States,https://www.google.com/maps/?q=PO%20Box%20430%20Altamont%20NY%2012009,,42.7006324,-74.0337382
"United Solar Energy, Inc.",,,,,FL,38+Rose+Street,Merritt+Island,FL,32953,United States,https://www.google.com/maps/?q=38%20Rose%20Street%20Merritt%20Island%20FL%2032953,,28.3576992,-80.7061552
Sun City Solar Energy,1983,,,,AR|MO|OK|TX,57+Marcella+Dr,Little+Rock,AR,72223,United States,https://www.google.com/maps/?q=57%20Marcella%20Dr%20Little%20Rock%20AR%2072223,,34.7941676,-92.4675622
Sun Light & Power,,,,,CA,1035+Folger+Ave,Berkeley,CA,94710,United States,https://www.google.com/maps/?q=1035%20Folger%20Ave.%20Berkeley%20CA%2094710,,37.8510046,-122.2871933
Sunata Energy,,,,,NY,415,Saugerties,NY,12477,United States,https://www.google.com/maps/?q=P.O.%20Box%20415%20Saugerties%20NY%2012477,,42.0775906,-73.9529126
"Sunbrite, Inc.",,,,,NY,60+Lake+Shore+Drive,Ronkonkoma,NY,11779,United States,https://www.google.com/maps/?q=60%20Lake%20Shore%20Drive%20Ronkonkoma%20NY%2011779,,40.8199513,-73.1225823
Sun Solar Products,,,,,NY,22+Middle+Island+Ave,Medford,NY,11763,United States,https://www.google.com/maps/?q=22%20Middle%20Island%20Ave.%20Medford%20NY%2011763,,40.8263465,-73.0101563
Sunco LLC,,,,,AZ,6991+East+Camelback+Road+Suite+B305,Scottsdale,AZ,85251,United States,https://www.google.com/maps/?q=6991%20East%20Camelback%20Road%20Suite%20B-305%20Scottsdale%20AZ%2085251,,33.5015696,-111.9312895
Sundance Solar Designs,,,,,CO,750,Olathe,CO,81425,United States,https://www.google.com/maps/?q=P.O.%20Box%20750%20%20Olathe%20CO%2081425,,38.6049853,-107.9822884
SUNDOG SOLAR,,,,,NY,348,Chatham,NY,12037,United States,https://www.google.com/maps/?q=PO%20Box%20348%20Chatham%20NY%2012037,,42.3642516,-73.5948391
Sunflower Solar,,,,,VA,1521+West+Main+Street,Richmond,VA,23220,United States,https://www.google.com/maps/?q=1521%20West%20Main%20Street%20Richmond%20VA%2023220,,37.5470354,-77.4604723
SunLion Energy Systems,,,,,PA,2330+Dairy+Road,Lancaster,PA,17601,United States,https://www.google.com/maps/?q=2330%20Dairy%20Road%20Lancaster%20PA%2017601,,40.0825856,-76.3642259
"Sunny Day Solar, LLC",,,,,GA,1303+Silver+Trace+Dr+SW,Lilburn,GA,30047,United States,https://www.google.com/maps/?q=1303%20Silver%20Trace%20Dr.%20SW%20Lilburn%20GA%2030047,,33.8581066,-84.0955518
"River Cities Solar, LLC",,,,,AZ,1116+Hwy+95,Bullhead+City,AZ,86429,United States,https://www.google.com/maps/?q=1116%20Hwy%2095%2C%20Suite%20116%20Bullhead%20City%20AZ%2086429,,35.1464874,-114.5681556
SunRay Power,,,,,NY,545+Madison+Ave+Fl+14,New+York,NY,10022,United States,https://www.google.com/maps/?q=545%20Madison%20Ave%20Fl%2014%20New%20York%20NY%2010022,,40.760663,-73.9731154
Sunshine Solar Technologies Inc.,,,,,NY,471+N+Broadway+Suite+287,Jericho,NY,11753,United States,https://www.google.com/maps/?q=471%20N.%20Broadway%20Suite%20287%20Jericho%20NY%2011753,,40.7894749,-73.5344043
"Sunshine State Solar Energy, Inc.",,,,,FL,13750+West+Colonial+Drive,Winter+Garden,FL,34787,United States,https://www.google.com/maps/?q=13750%20West%20Colonial%20Drive%2C%20Suite%20350%E2%80%93203%20Winter%20Garden%20FL%2034787,,28.549035,-81.5893733
SunSmart Solar,,,,,AZ,7047+East+Greenway+Parkway,Scottsdale,AZ,85254,United States,https://www.google.com/maps/?q=7047%20East%20Greenway%20Parkway%2C%20%23250%20Scottsdale%20AZ%2085254,,33.6224045,-111.9286812
SunTechnics,,,,,CA|NJ|PA,222+W+Lancaster+Ave,Paoli,PA,19301,United States,https://www.google.com/maps/?q=222%20W.%20Lancaster%20Ave.%20Paoli%20PA%2019301,,40.0411851,-75.4938654
Suntric,1980,,,,NY,9572+Main+Street,Beaver+Falls,NY,13305,United States,https://www.google.com/maps/?q=9572%20Main%20Street%20Beaver%20Falls%20NY%2013305,,43.8858406,-75.4304159
Solartronics Inc.,,,,,CA,1476+Dorset+Ave,Thousand+Oaks,CA,91360,United States,https://www.google.com/maps/?q=1476%20Dorset%20Ave%20Thousand%20Oaks%20CA%2091360,,34.1983226,-118.878044
"SolarWerks, LLC",,,,,IL,2817+N+Lakewood+Avenue,Chicago,IL,60657,United States,https://www.google.com/maps/?q=2817%20N.%20Lakewood%20Avenue%20Chicago%20IL%2060657,,41.9330895,-87.6608579
Solatek Energy Group LLC,,,,,CT,597,Hebron,CT,6248,United States,https://www.google.com/maps/?q=P.O.%20Box%20597%20Hebron%20CT%2006248,,41.6578767,-72.3659161
"SolarWorx, LLC",,,,,CO,150+Rock+Point+Drive,Durango,CO,81301,United States,https://www.google.com/maps/?q=150%20Rock%20Point%20Drive%20Durango%20CO%2081301,,37.2717451,-107.8906367
Solergy Alternative Energy Solutions,,,,,IL,129+S+Phelps+Ave+Suite+346,Rockford,IL,61108,United States,https://www.google.com/maps/?q=129%20S%20Phelps%20Ave%20Suite%20346%20Rockford%20IL%2061108,,42.2638388,-89.0052812
Solsource Inc,2004,,,,CO,6850+Broadway+Suite+D,Denver,CO,80221,United States,https://www.google.com/maps/?q=6850%20Broadway%20Suite%20D%20Denver%20CO%2080221,,39.8216256,-104.985572
SOLGEN,,,,,CA,14938+Camden+Avenue+109,San+Jose,CA,95124,United States,https://www.google.com/maps/?q=14938%20Camden%20Avenue%20%23109%20San%20Jose%20CA%2095124,,37.2614698,-121.9292226
SOLutions,,,,,WI,309,Cornucopia,WI,54827,United States,https://www.google.com/maps/?q=PO%20Box%20309%20Cornucopia%20WI%2054827,,46.7618727,-91.1056311
South Florida Pool Heating,,,,,FL,10790+Wiles+Road,Coral+Springs,FL,33076,United States,https://www.google.com/maps/?q=10790%20Wiles%20Road%20Coral%20Springs%20FL%2033076,,26.2868385,-80.2702226
Southwest Solar,,,,,AZ,5085+S+Melpomene+Way,Tucson,AZ,85747,United States,https://www.google.com/maps/?q=5085%20S.%20Melpomene%20Way%20Tucson%20AZ%2085747,,32.160296,-110.751678
"SPG Solar, Inc",,,,,AZ,3450+S+Broadmont,Tucson,AZ,85713,United States,https://www.google.com/maps/?q=3450%20S.%20Broadmont%2C%20Suite%20108%20Tucson%20AZ%2085713,,32.1848329,-110.9198348
"Southwest Solar Solutions, Inc.",,,,,CA,3435+Camino+Del+Rio+South,San+Diego,CA,92108,United States,https://www.google.com/maps/?q=3435%20Camino%20Del%20Rio%20South%2C%20Suite%20%23310%20San%20Diego%20CA%2092108,,32.7767222,-117.1199031
Starlight Solar,,,,,AZ,11881+S+Fortuna+Road,Yuma,AZ,85367,United States,https://www.google.com/maps/?q=11881%20S.%20Fortuna%20Road%2C%20%23210%20Yuma%20AZ%2085367,,32.656435,-114.4437661
Stoneridge Electric Co. Inc.,,,,,NY,332,Hurley,NY,12443,United States,https://www.google.com/maps/?q=PO%20Box%20332%20Hurley%20NY%2012443,,41.9245368,-74.0612519
"Stitt Energy Systems, Inc.",1978,,,,AZ,1301+South+8th+Street,Rogers,AR,72756,United States,https://www.google.com/maps/?q=1301%20South%208th%20Street%20Rogers%20AR%2072756,,36.3224578,-94.1255906
"Suffolk Solar Systems, Inc",,,,,NY,58,Mattituck,NY,11952,United States,https://www.google.com/maps/?q=PO%20Box%2058%20Mattituck%20NY%2011952,,40.9912115,-72.5342547
Summit Green Solutions,,,,,GA,3070+Damascus+Road+Ste+A,Augusta,GA,30909,United States,https://www.google.com/maps/?q=3070%20Damascus%20Road%20Ste.%20A%20%20Augusta%20GA%2030909,,33.4599877,-82.0488974
Solar Integrations,,,,,CT,393+Winnepoge+Drive,Fairfield,CT,6825,USA,https://www.google.com/maps/?q=393%20Winnepoge%20Drive%20Fairfield%20CT%2006825,,41.1949896,-73.2615509
Solar Pro,,,,,PA,304+Industrial+Lane,Avondale,PA,19311,United States,https://www.google.com/maps/?q=304%20Industrial%20Lane%20Avondale%20PA%2019311,,39.823443,-75.783273
Solar Service And Installations,,,,,NY,25+Jefferson+Avenue,Bayville,NY,11709,United States,https://www.google.com/maps/?q=25%20Jefferson%20Avenue%20Bayville%20NY%2011709,,40.9072899,-73.5542826
"Solar Service, Inc.",1977,,,,IL,7312+N+Milwaukee,Niles,IL,60714,United States,https://www.google.com/maps/?q=7312%20N.%20Milwaukee%20Niles%20IL%2060714,,42.0141504,-87.8036701
Solar System Installations,,,,,TX,26+Meadowglen+Circle,Coppell,TX,75019,United States,https://www.google.com/maps/?q=26%20Meadowglen%20Circle%20Coppell%20TX%2075019,,32.9697245,-96.966035
Solar Systems of Indiana,,,,,IN,785+East+Sample+Road,Bloomington,IN,47408,USA,https://www.google.com/maps/?q=785%20East%20Sample%20Road%20Bloomington%20IN%2047408,,39.2609362,-86.5126226
Solar Technologies,,,,,CA,619+Soquel+Avenue,Santa+Cruz,CA,95062,United States,https://www.google.com/maps/?q=619%20Soquel%20Avenue%20Santa%20Cruz%20CA%2095062,,36.97689,-122.0162539
Solar Village Institute,,,,,NC,14,Saxapahaw,NC,27340,United States,https://www.google.com/maps/?q=PO%20Box%2014%20Saxapahaw%20NC%2027340,,35.9473614,-79.321962
Solar Water Heaters of Hudson,,,,,FL,18845+Sakera+Road,Hudson,FL,34667,United States,https://www.google.com/maps/?q=18845%20Sakera%20Road%20Hudson%20FL%2034667,,28.4321004,-82.6120006
Solar Wind Works,,,,,CA,2511,Truckee,CA,96160,United States,https://www.google.com/maps/?q=P.O.%20Box%202511%20Truckee%20CA%2096160,,39.33,-120.18
Aegis Renewable Energy,,,,,VT,340+Mad+River+Park+Suite+6,Waitsfield,VT,5673,United States,https://www.google.com/maps/?q=340%20Mad%20River%20Park%20Suite%206%20Waitsfield%20VT%2005673,,44.2274749,-72.7928861
Solaralos,,,,,CA,387,Templeton,CA,93465,United States,https://www.google.com/maps/?q=PO%20box%20387%20Templeton%20CA%2093465,,35.5496939,-120.7060049
Solarbrite,,,,,CT,45+Austin+Circle,South+Windsor,CT,6074,United States,https://www.google.com/maps/?q=45%20Austin%20Circle%20South%20Windsor%20CT%2006074,,41.8120255,-72.5704528
SolarCera LLC,,,,,MA,45+Grapevine+Ave,Lexington,MA,2421,United States,https://www.google.com/maps/?q=45%20Grapevine%20Ave%20Lexington%20MA%2002421,,42.4355431,-71.2318057
Solarco,,,,,NC,8208+Whispering+Glen+Lane,Raleigh,NC,27614,United States,https://www.google.com/maps/?q=8208%20Whispering%20Glen%20Lane%20Raleigh%20NC%2027614,,35.9767278,-78.6862419
"Solaris Solar Energy, Inc.",,,,,FL,6200+Clark+Center+Avenue,Sarasota,FL,34238,United States,https://www.google.com/maps/?q=6200%20Clark%20Center%20Avenue%20Sarasota%20FL%2034238,,27.2634232,-82.4764932
SolarHut,,,,,CA,426+Placerville+Dr,Placerville,CA,95667,United States,https://www.google.com/maps/?q=426%20Placerville%20Dr%20Placerville%20CA%2095667,,38.7326179,-120.8315003
Solarmost,2009,,,,AZ,5140+W+Indian+Camp+Rd,Prescott,AZ,86305,United States,https://www.google.com/maps/?q=5140%20W%20Indian%20Camp%20Rd%20Prescott%20AZ%2086305,,34.7338448,-112.5659024
"SolarNovar, Inc.",,,,,PA,158+Quarry+Rd+Suite+101,Plattsburgh,PA,12901,United States,https://www.google.com/maps/?q=158%20Quarry%20Rd%20Suite%20101%20Plattsburgh%20PA%2012901,,44.7141454,-73.4687459
Shamrock-GREEN-Electric,1957,,,,IL,1281+East+Brummel+Avenue,Elk+Grove+Village,IL,60007,United States,https://www.google.com/maps/?q=1281%20East%20Brummel%20Avenue%20Elk%20Grove%20Village%20IL%2060007,,42.0170548,-87.9677545
Simply Efficient,2007,1999,100,10,CO,98+S+Wadsworth+Blvd+Ste+127220,Lakewood,CO,80226,United States,https://www.google.com/maps/?q=98%20S.%20Wadsworth%20Blvd.%20Ste.%20127-220%20Lakewood%20CO%2080226,,39.7150501,-105.0813514
"Skylight Specialists, Inc.",,,,,CO,10658+W+Centennial+Rd+Ste+300,Littleton,CO,80127,United States,https://www.google.com/maps/?q=10658%20W%20Centennial%20Rd%20Ste%20300%20Littleton%20CO%2080127,,39.5666944,-105.1183123
Sierra Solar Systems,2012,2005,100,30,CA|NV,2801+Lockheed+Way,Carson+City,NV,89706,United States,https://www.google.com/maps/?q=2801%20Lockheed%20Way%20%20Carson%20City%20NV%2089706,,39.1994424,-119.7359984
Simply Solar of Arizona,,,,,AZ,1515+W+Deer+Valley+Rd+Suite+B104,Phoenix,AZ,85027,United States,https://www.google.com/maps/?q=1515%20W%20Deer%20Valley%20Rd%20Suite%20B104%20Phoenix%20AZ%2085027,,33.6830318,-112.0924255
Simply Solar,,,,,,238+E+Main+St,Cary,IL,60013,United States,https://www.google.com/maps/?q=238%20E%20Main%20St%20Cary%20IL%2060013,,42.209037,-88.2321882
Safe Shelter Environmental,,,,,PA,346+Pottstown+Pike,Exton,PA,19341,United States,https://www.google.com/maps/?q=346%20Pottstown%20Pike%20Exton%20PA%2019341,,40.0237336,-75.6260308
Snow Solar Systems,,,,,CA,1930+Morello+Ave,Pleasant+Hill,CA,94523,United States,https://www.google.com/maps/?q=1930%20Morello%20Ave%20Pleasant%20Hill%20CA%2094523,,37.9677788,-122.084144
Smart Energy of New England LLC,,,,,NH,433,Colebrook,NH,3576,United States,https://www.google.com/maps/?q=P.O.%20Box%20433%20Colebrook%20NH%2003576,,44.894313,-71.496296
"Solair Energy, Inc.",,,,,PA,275,Ralston,PA,17763,United States,https://www.google.com/maps/?q=P.O.%20Box%20275%2C%2011178%20Route%2014%20Hwy.%20Ralston%20PA%2017763,,41.50547,-76.954943
Solar & Renewable Power Systems,,,,,TN,33+Old+Hickory+Blvd,Jackson,TN,38305,United States,https://www.google.com/maps/?q=33%20Old%20Hickory%20Blvd%20Jackson%20TN%2038305,,35.6551499,-88.8264881
Solar & Wind FX,1997,,,,NY,5115+South+Hill+Road,Canandaigua,NY,14424,United States,https://www.google.com/maps/?q=5115%20South%20Hill%20Road%20Canandaigua%20NY%2014424,,42.771661,-77.418546
Solar Community LLC,,,,,TX,2600+Longhorn+Blvd+Suite+112,Austin,TX,78758,United States,https://www.google.com/maps/?q=2600%20Longhorn%20Blvd.%20Suite%20112%20Austin%20TX%2078758,,30.3810263,-97.7256305
Solar Concepts,1979,,,,FL,10839+King+Bay+Dr,Boca+Raton,FL,33498,United States,https://www.google.com/maps/?q=10839%20King%20Bay%20Dr%20Boca%20Raton%20FL%2033498,,26.3778211,-80.2150076
"Solar Depot, Inc",,,,,CA,1500+Valley+House+Drive,Rohnert+Park,CA,94928,United States,https://www.google.com/maps/?q=1500%20Valley%20House%20Drive%2C%20Suite%20210%20Rohnert%20Park%20CA%2094928,,38.3232077,-122.6787233
